"customer_id","channel","cost","conversion_rate","revenue"
"591","paid advertising","30.450327","0.016341","2528"
"774","referral","8.320327","0.123145","1597"
"308","email marketing","5.246263","0.043822","3436"
"122","email marketing","5.246263","0.043822","730"
"302","paid advertising","30.450327","0.016341","905"
"676","social media","9.546326","0.167592","3916"
"436","paid advertising","30.450327","0.016341","3273"
"216","paid advertising","30.450327","0.016341","3593"
"472","paid advertising","30.450327","0.016341","2630"
"84","paid advertising","30.450327","0.016341","4312"
"775","social media","9.546326","0.167592","4178"
"429","email marketing","5.246263","0.043822","2415"
"448","referral","8.320327","0.123145","3639"
"201","paid advertising","30.450327","0.016341","3037"
"72","paid advertising","30.450327","0.016341","2807"
"219","email marketing","5.246263","0.043822","3602"
"515","social media","9.546326","0.167592","3779"
"700","paid advertising","30.450327","0.016341","4289"
"698","email marketing","5.246263","0.043822","3343"
"404","referral","8.320327","0.123145","3809"
"605","referral","8.320327","0.123145","3509"
"277","paid advertising","30.450327","0.016341","1568"
"797","social media","9.546326","0.167592","2101"
"36","social media","9.546326","0.167592","3836"
"384","paid advertising","30.450327","0.016341","3822"
"363","referral","8.320327","0.123145","1194"
"19","referral","8.320327","0.123145","4439"
"710","email marketing","5.246263","0.043822","4027"
"656","paid advertising","30.450327","0.016341","676"
"262","social media","9.546326","0.167592","1150"
"93","email marketing","5.246263","0.043822","2933"
"66","paid advertising","30.450327","0.016341","2529"
"103","social media","9.546326","0.167592","1499"
"10","email marketing","5.246263","0.043822","3003"
"28","email marketing","5.246263","0.043822","4342"
"418","email marketing","5.246263","0.043822","1335"
"645","paid advertising","30.450327","0.016341","4085"
"713","referral","8.320327","0.123145","2750"
"246","social media","9.546326","0.167592","3729"
"510","email marketing","5.246263","0.043822","4806"