SOLD PRODUCTS,,,,,,,,,12/1/2023
CAFE BELIER,,,,,,,,,09:06:13 a. m.
,,,,,,,,,
CODE,DESCRIPTION,GROUP,PRICE,QUANTITY,TOTAL SALE,SALE PRICE,CATALOG PRICE,TOTAL CATALOG SALE,VAT
1007,SPECIAL CROISSANT,FOOD, $ 7.90 ,39, $ 308.15 , $ 7.90 , $ 7.90 , $ 308.15 ,7.25%
1005,BELIER CROISSANT,FOOD, $ 8.09 ,29, $ 234.51 , $ 8.09 , $ 8.09 , $ 234.51 ,7.25%
1006,AVOCADO TOAST,FOOD, $ 9.38 ,21, $ 197.04 , $ 9.38 , $ 9.38 , $ 197.04 ,7.25%
1004,BAT SANDWICH,FOOD, $ 10.99 ,17, $ 186.79 , $ 10.99 , $ 10.99 , $ 186.79 ,7.25%
1008,BELIER SALAD,FOOD, $ 10.62 ,7, $ 74.32 , $ 10.62 , $ 10.62 , $ 74.32 ,7.25%
10006,OATMILK COOKIE,PASTRIES, $ 1.97 ,119, $ 234.07 , $ 1.97 , $ 1.98 , $ 235.06 ,7.25%
10005,CHOCOLATE CHIP COOKIE,PASTRIES, $ 1.96 ,96, $ 188.15 , $ 1.96 , $ 1.98 , $ 189.63 ,7.25%
10007,PAN AU CHOCOLAT,PASTRIES, $ 2.86 ,82, $ 234.71 , $ 2.86 , $ 2.90 , $ 237.90 ,7.25%
10001,NATURAL CROISSANT,PASTRIES, $ 2.52 ,72, $ 181.59 , $ 2.52 , $ 2.53 , $ 182.22 ,7.25%
10004,DOUBLE CHOCOLATE COOKIE,PASTRIES, $ 1.96 ,67, $ 131.36 , $ 1.96 , $ 1.98 , $ 132.35 ,7.25%
10011,BANANA BREAD,PASTRIES, $ 3.74 ,62, $ 231.57 , $ 3.74 , $ 3.77 , $ 233.46 ,7.25%
10008,CINNAMON ROLL,PASTRIES, $ 4.14 ,52, $ 215.12 , $ 4.14 , $ 4.20 , $ 218.27 ,7.25%
10010,SCONE,PASTRIES, $ 4.20 ,47, $ 197.28 , $ 4.20 , $ 4.20 , $ 197.28 ,7.25%
10003,CRUMBLE COOKIE,PASTRIES, $ 1.29 ,44, $ 56.71 , $ 1.29 , $ 1.30 , $ 57.04 ,7.25%
10009,DANISH,PASTRIES, $ 4.20 ,43, $ 180.49 , $ 4.20 , $ 4.20 , $ 180.49 ,7.25%
10014,CARROT CAKE,PASTRIES, $ 5.58 ,38, $ 212.05 , $ 5.58 , $ 5.62 , $ 213.46 ,7.25%
10012,TRIPLE CHOCOLATE CAKE,PASTRIES, $ 4.80 ,33, $ 158.49 , $ 4.80 , $ 4.88 , $ 160.93 ,7.25%
10018,COCHITO,PASTRIES, $ 0.98 ,31, $ 30.37 , $ 0.98 , $ 0.99 , $ 30.62 ,7.25%
10016,RED VELVET CAKE,PASTRIES, $ 5.19 ,25, $ 129.63 , $ 5.19 , $ 5.19 , $ 129.63 ,7.25%
10017,MINI LEMON PIE,PASTRIES, $ 2.44 ,22, $ 53.70 , $ 2.44 , $ 2.47 , $ 54.32 ,7.25%
10019,ENERGY BALL,PASTRIES, $ 1.52 ,17, $ 25.85 , $ 1.52 , $ 1.54 , $ 26.23 ,7.25%
10021,VEGAN BROWNIE,PASTRIES, $ 3.31 ,10, $ 33.10 , $ 3.31 , $ 3.40 , $ 33.95 ,7.25%
1013,MINI CHOCOLATE TART,PASTRIES, $ 2.47 ,5, $ 12.35 , $ 2.47 , $ 2.47 , $ 12.35 ,7.25%
1012,APPLE PIE,PASTRIES, $ 4.20 ,2, $ 8.40 , $ 4.20 , $ 4.20 , $ 8.40 ,7.25%
10013,CARAMEL CAKE,PASTRIES, $ 4.88 ,1, $ 4.88 , $ 4.88 , $ 4.88 , $ 4.88 ,7.25%
,,,,981," $ 3,520.68 ",,," $ 3,539.26 ",