,,,,,,,,,,,,,,
MLS #,Status,SFR Type,Levels,County,City,Bedrooms,Full Bath,Half Bath,List Price,Close Price,Close Date,Days on Market to Close,Subdivision,Year Built
4074770,CLOSD,CONDO,1 Story,Buncombe,Asheville,1,1,0,"$469,000","$450,000",12/11/2023,70,The Pioneer Building,2008
4061550,CLOSD,SFR,1 Story,Buncombe,Asheville,3,2,0,"$524,900","$450,500",12/21/2023,124,None,1962
4090598,CLOSD,TWNHS,1 Story,Buncombe,Swannanoa,2,2,0,"$450,000","$453,000",12/21/2023,21,Craggy View Cottages,2004
4083590,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,1,"$450,000","$455,000",12/07/2023,33,Biltmore Terrace,2006
4043520,CLOSD,SFR,1 Story,Buncombe,Asheville,4,2,1,"$459,900","$460,000",12/05/2023,151,Buena Vista Forest,1956
4079370,CLOSD,SFR,1 Story,Buncombe,Asheville,3,1,1,"$469,000","$470,000",11/30/2023,41,None,1949
4071698,CLOSD,SFR,1 Story,Buncombe,Asheville,3,1,0,"$490,000","$470,000",12/01/2023,64,NONE,1924
4074739,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,1,"$479,900","$474,000",12/15/2023,46,None,2017
4089308,CLOSD,SFR,2 Story,Buncombe,Weaverville,3,2,1,"$485,000","$475,000",12/28/2023,31,Worthington Ridge,2003
4081723,CLOSD,SFR,2 Story,Buncombe,Arden,3,2,1,"$475,000","$475,000",12/08/2023,36,Chadwick,1993
4077093,CLOSD,SFR,1.5 Story,Buncombe,Asheville,4,2,0,"$499,000","$477,730",12/07/2023,57,Arco Gardens,1955
4048345,CLOSD,SFR,1.5 Story,Buncombe,Asheville,3,3,0,"$485,000","$485,000",12/22/2023,154,Hillside Park,1917
4062446,CLOSD,SFR,2 Story,Buncombe,Arden,4,2,2,"$499,000","$485,000",12/08/2023,106,None,1984
4082361,CLOSD,CONDO,1 Story,Buncombe,Asheville,2,1,0,"$525,000","$488,000",12/21/2023,49,Longchamps Condos,1925
4075453,CLOSD,SFR,1 Story,Buncombe,Asheville,4,2,0,"$499,000","$499,000",12/27/2023,82,None,1925
4052749,CLOSD,SFR,1 Story,Buncombe,Fairview,3,3,0,"$499,900","$500,000",12/04/2023,125,None,2006
4055090,CLOSD,SFR,1.5 Story,Buncombe,Weaverville,3,2,1,"$510,000","$500,000",12/01/2023,124,Twin Brook Hills,2002
4024636,CLOSD,SFR,1 Story,Buncombe,Asheville,4,3,1,"$525,000","$500,000",12/15/2023,224,Ballantree,1986
4087762,CLOSD,SFR,1 Story,Buncombe,Asheville,3,2,0,"$439,000","$505,000",11/30/2023,14,Imperial Woods,1962
4084324,CLOSD,CONDO,1.5 Story,Buncombe,Asheville,1,1,1,"$549,000","$510,000",12/01/2023,26,Cirrus Condominiums,2007
4063961,CLOSD,TWNHS,1 Story,Buncombe,Asheville,2,2,0,"$525,000","$515,000",12/08/2023,99,Belvedere,1986
4084802,CLOSD,SFR,1.5 Story,Buncombe,Asheville,2,2,1,"$495,000","$516,000",12/05/2023,32,Morningside Park,1995
4068861,CLOSD,SFR,1.5 Story,Buncombe,Fairview,3,2,0,"$519,900","$519,900",12/08/2023,78,Cascade Ridge,2023
4070814,CLOSD,SFR,2 Story,Buncombe,Fairview,3,3,1,"$530,000","$520,000",12/21/2023,90,Sunset Crest Estates,2002
4078204,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,0,"$529,000","$523,710",12/21/2023,70,Town Mountain Estates,1959
4077012,CLOSD,SFR,1 Story,Buncombe,Asheville,4,3,0,"$550,000","$525,000",11/30/2023,52,Northridge,1987
4083176,CLOSD,SFR,1.5 Story,Buncombe,Candler,3,2,1,"$520,000","$525,000",12/01/2023,29,None,1999
4090489,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,1,"$549,000","$525,000",12/22/2023,24,Greenwood Fields,2022
4087419,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,1,"$529,000","$529,000",12/28/2023,42,Greenwood Fields,2022
4073195,CLOSD,SFR,2 Story,Buncombe,Arden,5,2,1,"$555,000","$530,000",12/15/2023,80,Waightstill Mountain,2005
4084271,CLOSD,SFR,1 Story,Buncombe,Asheville,3,2,0,"$539,000","$530,000",12/20/2023,47,None,1991
4086561,CLOSD,SFR,1 Story,Buncombe,Asheville,4,3,0,"$525,000","$530,000",12/15/2023,31,None,1965
4040179,CLOSD,TWNHS,1 Story,Buncombe,Arden,3,2,0,"$532,303","$532,303",12/04/2023,174,The Cottages at Averys Creek,2023
4084734,CLOSD,SFR,1 Story,Buncombe,Asheville,3,2,0,"$575,000","$537,000",12/20/2023,48,Buena Vista Forest,1961
4065084,CLOSD,SFR,2 Story,Buncombe,Weaverville,3,3,1,"$544,900","$540,000",12/08/2023,77,Snapfinger Woods,1991
4050384,CLOSD,SFR,1 Story,Buncombe,Asheville,3,2,0,"$550,000","$540,000",12/28/2023,125,Laurel Ridge,1987
4067124,CLOSD,SFR,1 Story,Buncombe,Asheville,4,3,1,"$545,000","$541,000",11/30/2023,82,None,1959
4028539,CLOSD,SFR,3 Story,Buncombe,Asheville,3,2,1,"$695,000","$549,000",12/04/2023,207,none,2023
4066916,CLOSD,SFR,2 Story,Buncombe,Fletcher,4,3,1,"$599,000","$550,000",12/12/2023,96,Two Oaks South,1985
4087073,CLOSD,SFR,1 Story,Buncombe,Arden,3,3,1,"$550,000","$550,000",12/15/2023,32,Riverport,1981
4074690,CLOSD,SFR,Split Level,Buncombe,Weaverville,3,3,0,"$550,000","$555,000",12/08/2023,67,Forest Knoll,1994
4067546,CLOSD,SFR,2 Story,Buncombe,Fletcher,4,4,1,"$599,000","$560,000",12/28/2023,104,Arnstein Acres,2001
4060037,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,1,"$599,000","$565,000",12/18/2023,119,Kenilworth,1925
4057443,CLOSD,SFR,1 Story,Buncombe,Weaverville,3,3,0,"$569,000","$569,000",12/12/2023,118,None,1990
4068276,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,1,"$589,000","$570,000",12/11/2023,88,Westside Walk,2023
4080693,CLOSD,SFR,1 Story,Buncombe,Asheville,3,3,1,"$590,000","$570,000",12/20/2023,55,Leicester Village,2015
4084405,CLOSD,SFR,1 Story,Buncombe,Weaverville,3,2,1,"$575,000","$575,000",12/29/2023,57,Creekside Village,2023
4049727,CLOSD,SFR,2 Story,Buncombe,Weaverville,4,3,0,"$590,000","$577,000",11/30/2023,80,Maple Trace,2019
4074768,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,1,"$589,000","$589,000",12/19/2023,74,Westside Walk,2023
4073522,CLOSD,CONDO,1 Story,Buncombe,Asheville,1,2,0,"$610,000","$595,000",12/04/2023,67,None,1928
4078984,CLOSD,TWNHS,1 Story/F.R.O.G.,Buncombe,Candler,3,3,0,"$599,900","$599,900",12/22/2023,67,Vistas of Westfield,2021
4054062,CLOSD,SFR,1 Story,Buncombe,Arden,2,2,0,"$640,000","$600,000",11/30/2023,119,Pinnacle At Arabella Heights,2019
4060299,CLOSD,SFR,2 Story,Buncombe,Leicester,3,3,1,"$579,000","$600,000",12/07/2023,41,Whispering Pines,1999
4058546,CLOSD,SFR,2 Story,Buncombe,Candler,3,2,1,"$639,000","$609,000",12/14/2023,126,None,2006
4054904,CLOSD,SFR,2 Story,Buncombe,Black Mountain,3,2,1,"$615,000","$610,000",12/21/2023,145,Christmont,2006
4068946,CLOSD,SFR,2 Story,Buncombe,Asheville,2,2,0,"$625,000","$622,000",12/12/2023,67,Montford,1923
4043527,CLOSD,SFR,1 Story,Buncombe,Arden,4,3,0,"$675,000","$625,000",12/07/2023,161,Arabella Heights,2008
4079258,CLOSD,SFR,1 Story,Buncombe,Asheville,3,2,0,"$625,000","$625,000",12/15/2023,55,Oak Forest,1960
4076511,CLOSD,SFR,2 Story,Buncombe,Weaverville,4,2,1,"$625,000","$625,000",12/01/2023,41,Reems Creek Country Estates,1986
4069096,CLOSD,SFR,2 Story,Buncombe,Alexander,4,2,1,"$655,000","$625,000",12/18/2023,96,Maplewood Village,2010
4072887,CLOSD,SFR,1 Story,Buncombe,Arden,3,2,1,"$665,000","$625,000",12/14/2023,71,GLEN ARDEN ESTATES,1983
4071757,CLOSD,SFR,1 Story,Buncombe,Swannanoa,3,2,0,"$649,000","$625,000",12/22/2023,88,Harrison Hill,1976
4076321,CLOSD,SFR,2 Story,Buncombe,Weaverville,3,3,1,"$695,000","$630,000",12/20/2023,75,None,1991
4070653,CLOSD,SFR,2 Story,Buncombe,Fairview,4,3,0,"$565,000","$635,000",12/22/2023,85,None,1989
4059212,CLOSD,CONDO,1 Story,Buncombe,Asheville,3,2,1,"$669,000","$642,193",12/07/2023,118,The Timbers,1989
4059757,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,1,"$659,900","$648,000",12/20/2023,88,None,2010
4078975,CLOSD,TWNHS,1 Story/F.R.O.G.,Buncombe,Candler,3,3,0,"$649,900","$649,900",12/04/2023,49,Vistas of Westfield,2021
4046104,CLOSD,SFR,1 Story,Buncombe,Fairview,4,3,0,"$685,000","$650,000",12/08/2023,155,Laurelwood,2006
4089264,CLOSD,SFR,1 Story,Buncombe,Arden,3,2,1,"$650,000","$650,000",12/21/2023,30,Glen Arden Estates,1975
4095654,CLOSD,TWNHS,1 Story/F.R.O.G.,Buncombe,Candler,3,3,0,"$650,000","$650,000",12/19/2023,,Vistas Of Westfield,2014
4067785,CLOSD,SFR,1 Story,Buncombe,Candler,4,4,1,"$600,000","$651,000",12/01/2023,78,None,2018
4076382,CLOSD,SFR,2 Story,Buncombe,Fletcher,3,3,1,"$699,000","$657,500",12/15/2023,70,Meadowood,1991
3935972,CLOSD,SFR,1 Story/F.R.O.G.,Buncombe,Arden,3,3,0,"$667,000","$667,000",12/08/2023,324,Pinnacle at Arabella Heights,2023
4045552,CLOSD,SFR,2 Story,Buncombe,Arden,4,2,1,"$669,900","$669,900",11/30/2023,153,Ellis Place,2023
4089087,CLOSD,CONDO,1 Story,Buncombe,Asheville,2,2,0,"$699,000","$689,000",12/14/2023,24,Old Pennys Bldg. Condominiums,1925
4044313,CLOSD,SFR,1 Story,Buncombe,Asheville,3,2,1,"$699,000","$689,000",11/30/2023,154,Buffalo Mountain,1998
4074700,CLOSD,SFR,2 Story,Buncombe,Fletcher,4,3,1,"$699,000","$691,000",12/04/2023,63,Brush Creek Farms,1996
4071375,CLOSD,SFR,1.5 Story,Buncombe,Fletcher,3,2,1,"$685,000","$693,000",12/28/2023,99,The Maples At Concord Place,2019
4090749,CLOSD,SFR,3 Story,Buncombe,Asheville,3,2,1,"$695,000","$695,000",12/21/2023,22,None,2021
4041507,CLOSD,SFR,1.5 Story,Buncombe,Asheville,3,2,1,"$750,000","$710,000",12/08/2023,149,None,2006
4020022,CLOSD,SFR,2 Story,Buncombe,Asheville,2,1,1,"$750,000","$710,000",12/08/2023,230,None,1905
4071735,CLOSD,SFR,1.5 Story,Buncombe,Asheville,3,2,0,"$715,000","$715,000",12/05/2023,68,None,2015
4083034,CLOSD,SFR,1 Story,Buncombe,Asheville,4,3,0,"$725,000","$715,000",12/11/2023,40,Eastmoor,1994
4077311,CLOSD,SFR,2 Story,Buncombe,Asheville,3,2,0,"$750,000","$715,000",12/13/2023,54,Covewood,1983
4062295,CLOSD,SFR,1 Story,Buncombe,Asheville,4,3,0,"$745,000","$718,000",12/08/2023,104,None,1954
4080206,CLOSD,SFR,2 Story,Buncombe,Weaverville,3,3,1,"$724,900","$723,900",12/28/2023,66,Jupiter Hills,2007
4028610,CLOSD,SFR,1 Story,Buncombe,Asheville,3,2,0,"$749,000","$725,000",12/01/2023,204,Kenilworth Forest,1951
4082536,CLOSD,SFR,2 Story,Buncombe,Asheville,5,3,0,"$715,000","$730,500",12/14/2023,41,West Asheville Estates,2017
4087675,CLOSD,SFR,1 Story,Buncombe,Weaverville,3,2,1,"$750,000","$735,000",12/20/2023,32,None,2000
4076105,CLOSD,SFR,2 Story,Buncombe,Asheville,4,4,1,"$765,000","$738,343",12/18/2023,72,Weston Heights,1995
4074155,CLOSD,SFR,1.5 Story,Buncombe,Asheville,4,3,0,"$725,000","$740,000",11/30/2023,62,Creekside,1997
4073392,CLOSD,SFR,2 Story,Buncombe,Biltmore Lake,3,2,1,"$750,000","$743,500",11/30/2023,62,Biltmore Lake,2004
4083124,CLOSD,SFR,2 Story,Buncombe,Candler,4,3,1,"$750,000","$745,000",12/06/2023,33,None,2017
4072760,CLOSD,SFR,1 Story,Buncombe,Asheville,3,3,0,"$775,000","$750,000",11/30/2023,31,None,2017
4068364,CLOSD,SFR,2 Story,Buncombe,Asheville,4,3,1,"$799,000","$750,000",12/01/2023,78,Kenilworth,1928